week_start,trades,winners,losers,win_rate,total_pnl,total_r,equity,weekly_return_pct
2021-01-04,0,0,0,,0.0,0.0,10000.0,0.0
2021-01-11,0,0,0,,0.0,0.0,10000.0,0.0
2021-01-18,0,0,0,,0.0,0.0,10000.0,0.0
2021-01-25,0,0,0,,0.0,0.0,10000.0,0.0
2021-02-01,0,0,0,,0.0,0.0,10000.0,0.0
2021-02-08,5,4,1,0.8,42.32,1.54,10042.32,0.4232
2021-02-15,0,0,0,,0.0,0.0,10042.32,0.0
2021-02-22,5,2,3,0.4,-60.04,-1.8151,9982.28,-0.5979
2021-03-01,5,3,2,0.6,15.89,0.7276,9998.18,0.1592
2021-03-08,5,4,1,0.8,92.1,2.7116,10090.28,0.9212
2021-03-15,5,3,2,0.6,8.6,0.2901,10098.87,0.0852
2021-03-22,5,1,4,0.2,-102.54,-3.313,9996.34,-1.0153
2021-03-29,5,3,2,0.6,-26.26,-0.5064,9970.07,-0.2627
2021-04-05,5,2,3,0.4,-27.97,-0.8782,9942.11,-0.2805
2021-04-12,5,4,1,0.8,53.0,1.973,9995.11,0.5331
2021-04-19,5,2,3,0.4,-38.68,-1.018,9956.43,-0.387
2021-04-26,5,1,4,0.2,-94.81,-2.652,9861.62,-0.9523
2021-05-03,5,5,0,1.0,220.92,6.7141,10082.54,2.2402
2021-05-10,5,0,5,0.0,-94.62,-2.7958,9987.93,-0.9384
2021-05-17,5,2,3,0.4,-46.46,-1.4935,9941.46,-0.4652
2021-05-24,5,2,3,0.4,-49.52,-1.4851,9891.94,-0.4982
2021-05-31,0,0,0,,0.0,0.0,9891.94,0.0
2021-06-07,5,1,4,0.2,-77.85,-2.2729,9814.09,-0.787
2021-06-14,5,3,2,0.6,28.7,1.1171,9842.78,0.2924
2021-06-21,5,3,2,0.6,9.69,0.5408,9852.47,0.0984
2021-06-28,5,2,3,0.4,-42.59,-1.1902,9809.88,-0.4323
2021-07-05,0,0,0,,0.0,0.0,9809.88,0.0
2021-07-12,5,0,5,0.0,-68.17,-2.5563,9741.71,-0.6949
2021-07-19,5,3,2,0.6,31.83,1.3287,9773.54,0.3267
2021-07-26,5,1,4,0.2,-84.0,-2.8153,9689.54,-0.8594
2021-08-02,5,3,2,0.6,86.35,2.5761,9775.89,0.8911
2021-08-09,5,3,2,0.6,-0.17,0.0827,9775.71,-0.0018
2021-08-16,5,0,5,0.0,-151.46,-4.691,9624.26,-1.5493
2021-08-23,5,3,2,0.6,93.28,2.9319,9717.54,0.9692
2021-08-30,5,1,4,0.2,-39.48,-1.1667,9678.06,-0.4063
2021-09-06,0,0,0,,0.0,0.0,9678.06,0.0
2021-09-13,5,3,2,0.6,18.37,0.528,9696.43,0.1898
2021-09-20,5,2,3,0.4,45.29,1.4978,9741.72,0.4671
2021-09-27,5,2,3,0.4,-78.14,-2.3129,9663.58,-0.8021
2021-10-04,5,4,1,0.8,93.09,2.8244,9756.67,0.9633
2021-10-11,5,5,0,1.0,156.71,4.7125,9913.38,1.6062
2021-10-18,5,4,1,0.8,132.42,3.7893,10045.8,1.3358
2021-10-25,5,1,4,0.2,-97.62,-2.8943,9948.19,-0.9717
2021-11-01,5,4,1,0.8,161.13,4.6816,10109.32,1.6197
2021-11-08,5,0,5,0.0,-151.17,-4.6005,9958.14,-1.4954
2021-11-15,5,0,5,0.0,-138.33,-4.7404,9819.82,-1.3891
2021-11-22,5,2,3,0.4,-21.01,-1.0885,9798.81,-0.214
2021-11-29,5,1,4,0.2,-70.92,-2.1499,9727.89,-0.7238
2021-12-06,5,3,2,0.6,-10.92,-0.2435,9716.96,-0.1123
2021-12-13,5,1,4,0.2,-93.58,-2.1009,9623.38,-0.9631
2021-12-20,5,3,2,0.6,0.07,-0.0214,9623.45,0.0007
2021-12-27,5,3,2,0.6,32.34,0.9447,9655.79,0.3361
2022-01-03,5,0,5,0.0,-155.18,-4.7021,9500.62,-1.6071
2022-01-10,5,4,1,0.8,14.14,0.4032,9514.75,0.1488
2022-01-17,0,0,0,,0.0,0.0,9514.75,0.0
2022-01-24,5,4,1,0.8,53.49,1.871,9568.24,0.5622
2022-01-31,5,4,1,0.8,18.15,0.5918,9586.39,0.1897
2022-02-07,5,4,1,0.8,118.53,3.3879,9704.92,1.2364
2022-02-14,5,2,3,0.4,-6.56,-0.1327,9698.36,-0.0676
2022-02-21,0,0,0,,0.0,0.0,9698.36,0.0
2022-02-28,5,3,2,0.6,129.51,4.1116,9827.87,1.3354
2022-03-07,5,1,4,0.2,-48.91,-1.5016,9778.96,-0.4977
2022-03-14,5,2,3,0.4,-43.58,-1.3546,9735.39,-0.4456
2022-03-21,5,3,2,0.6,53.88,1.5449,9789.26,0.5534
2022-03-28,5,2,3,0.4,-50.63,-1.4247,9738.63,-0.5172
2022-04-04,5,2,3,0.4,-14.19,-0.6343,9724.44,-0.1457
2022-04-11,5,1,4,0.2,-35.97,-1.1908,9688.47,-0.3699
2022-04-18,5,2,3,0.4,-6.48,-0.0919,9681.98,-0.0669
2022-04-25,5,0,5,0.0,-55.3,-1.6611,9626.69,-0.5711
2022-05-02,5,2,3,0.4,82.9,2.3255,9709.59,0.8612
2022-05-09,5,1,4,0.2,-100.81,-3.5164,9608.77,-1.0383
2022-05-16,5,0,5,0.0,-112.6,-3.778,9496.18,-1.1718
2022-05-23,5,4,1,0.8,44.24,1.4662,9540.42,0.4659
2022-05-30,0,0,0,,0.0,0.0,9540.42,0.0
2022-06-06,5,0,5,0.0,-155.49,-4.9256,9384.93,-1.6298
2022-06-13,5,1,4,0.2,-91.47,-3.0051,9293.46,-0.9746
2022-06-20,0,0,0,,0.0,0.0,9293.46,0.0
2022-06-27,5,0,5,0.0,-71.1,-2.2474,9222.37,-0.765
2022-07-04,0,0,0,,0.0,0.0,9222.37,0.0
2022-07-11,5,3,2,0.6,10.26,-0.3793,9232.63,0.1113
2022-07-18,5,4,1,0.8,46.47,1.3727,9279.1,0.5033
2022-07-25,5,5,0,1.0,103.01,3.4739,9382.11,1.1101
2022-08-01,5,3,2,0.6,71.6,2.0864,9453.71,0.7632
2022-08-08,5,2,3,0.4,-54.27,-1.679,9399.44,-0.5741
2022-08-15,5,3,2,0.6,22.56,0.3412,9422.0,0.2401
2022-08-22,5,2,3,0.4,-13.84,-0.3117,9408.16,-0.1469
2022-08-29,5,1,4,0.2,-104.44,-3.0801,9303.72,-1.1101
2022-09-05,0,0,0,,0.0,0.0,9303.72,0.0
2022-09-12,5,0,5,0.0,-110.92,-4.1342,9192.8,-1.1922
2022-09-19,5,1,4,0.2,-84.85,-2.4761,9107.95,-0.923
2022-09-26,5,3,2,0.6,48.51,1.8992,9156.46,0.5326
2022-10-03,5,3,2,0.6,41.12,1.2185,9197.58,0.4491
2022-10-10,5,0,5,0.0,-92.73,-2.7921,9104.85,-1.0081
2022-10-17,5,3,2,0.6,28.12,0.8707,9132.97,0.3088
2022-10-24,5,5,0,1.0,146.89,4.5783,9279.86,1.6084
2022-10-31,5,3,2,0.6,-34.0,-1.2493,9245.86,-0.3664
2022-11-07,5,3,2,0.6,61.26,2.2232,9307.12,0.6625
2022-11-14,5,1,4,0.2,-74.28,-2.4502,9232.84,-0.7981
2022-11-21,5,5,0,1.0,120.54,3.8388,9353.38,1.3056
2022-11-28,5,4,1,0.8,102.22,3.1264,9455.6,1.0928
