week_start,ticker,entry_date,exit_date,entry_price,exit_price,stop_price,target_price,shares,risk_per_share,pnl_dollars,r_multiple,exit_reason,ret_1w,ret_3w,rsi_14,atr_14,signal_score,variation
2021-02-08,EL,2021-02-08,2021-02-12,280.5302,289.9597,267.6463,306.2981,2,12.8839,18.86,0.7319,time,0.1528,0.091153,64.5921,8.5893,0.974384,A
2021-02-08,MGM,2021-02-08,2021-02-12,34.9649,35.8941,33.0256,38.8435,18,1.9393,16.72,0.4791,time,0.19923,0.13111,67.3964,1.2929,0.969951,A
2021-02-08,TPR,2021-02-08,2021-02-12,37.6376,38.2717,35.4122,42.0883,15,2.2254,9.51,0.2849,time,0.187539,0.102466,64.6314,1.4836,0.964039,A
2021-02-08,WYNN,2021-02-08,2021-02-12,114.9648,117.7321,107.8345,129.2256,4,7.1304,11.07,0.3881,time,0.175424,0.073303,65.1294,4.7536,0.957635,A
2021-02-08,ALGN,2021-02-08,2021-02-12,622.8122,608.9704,582.5758,703.2851,1,40.2364,-13.84,-0.344,time,0.180955,0.118654,61.1488,26.8243,0.947783,A
2021-02-22,LH,2021-02-22,2021-02-26,209.6338,205.9021,200.488,227.9254,3,9.1458,-11.2,-0.408,time,0.038658,0.120979,69.8839,6.0972,0.956198,A
2021-02-22,MOS,2021-02-22,2021-02-26,29.1491,29.3706,26.9495,33.5484,15,2.1996,3.32,0.1007,time,0.044165,0.068725,63.0873,1.4664,0.950413,A
2021-02-22,NTAP,2021-02-22,2021-02-23,70.6306,67.9857,68.0538,75.7841,13,2.5768,-34.38,-1.0264,stop,0.031666,0.058605,68.2528,1.7179,0.919835,A
2021-02-22,CCI,2021-02-22,2021-02-25,165.175,159.9899,160.15,175.225,6,5.025,-31.11,-1.0319,stop,0.023457,0.048504,63.1115,3.35,0.897521,A
2021-02-22,PH,2021-02-22,2021-02-26,280.0097,286.673,267.9069,304.2155,2,12.1029,13.33,0.5506,time,0.024577,0.053438,65.5941,8.0686,0.895868,A
2021-03-01,SLB,2021-03-01,2021-03-05,28.7888,29.0409,26.9095,32.5473,18,1.8793,4.54,0.1342,time,0.06853,0.12495,66.147,1.2529,0.962112,A
