week_start,trades,winners,losers,win_rate,total_pnl,total_r,equity,weekly_return_pct
2021-01-04,0,0,0,,0.0,0.0,10000.0,0.0
2021-01-11,0,0,0,,0.0,0.0,10000.0,0.0
2021-01-18,0,0,0,,0.0,0.0,10000.0,0.0
2021-01-25,0,0,0,,0.0,0.0,10000.0,0.0
2021-02-01,0,0,0,,0.0,0.0,10000.0,0.0
2021-02-08,5,4,1,0.8,42.32,1.54,10042.32,0.4232
2021-02-15,0,0,0,,0.0,0.0,10042.32,0.0
2021-02-22,5,2,3,0.4,-60.04,-1.815,9982.28,-0.5979
2021-03-01,5,3,2,0.6,15.89,0.7276,9998.17,0.1592
2021-03-08,5,4,1,0.8,92.11,2.7116,10090.28,0.9213
2021-03-15,5,3,2,0.6,8.6,0.2901,10098.88,0.0852
2021-03-22,5,1,4,0.2,-102.54,-3.3131,9996.34,-1.0154
2021-03-29,5,3,2,0.6,-26.27,-0.5063,9970.07,-0.2628
2021-04-05,5,2,3,0.4,-27.96,-0.8783,9942.11,-0.2804
2021-04-12,5,4,1,0.8,53.01,1.973,9995.12,0.5332
2021-04-19,5,2,3,0.4,-38.68,-1.018,9956.44,-0.387
2021-04-26,5,1,4,0.2,-94.81,-2.6519,9861.63,-0.9522
2021-05-03,5,5,0,1.0,220.92,6.714,10082.55,2.2402
2021-05-10,5,0,5,0.0,-94.61,-2.7958,9987.94,-0.9384
2021-05-17,5,2,3,0.4,-46.47,-1.4935,9941.47,-0.4653
2021-05-24,5,2,3,0.4,-49.52,-1.4852,9891.95,-0.4981
2021-05-31,0,0,0,,0.0,0.0,9891.95,0.0
2021-06-07,0,0,0,,0.0,0.0,9891.95,0.0
2021-06-14,0,0,0,,0.0,0.0,9891.95,0.0
2021-06-21,5,3,2,0.6,9.68,0.5408,9901.63,0.0979
2021-06-28,0,0,0,,0.0,0.0,9901.63,0.0
2021-07-05,0,0,0,,0.0,0.0,9901.63,0.0
2021-07-12,0,0,0,,0.0,0.0,9901.63,0.0
2021-07-19,0,0,0,,0.0,0.0,9901.63,0.0
2021-07-26,0,0,0,,0.0,0.0,9901.63,0.0
2021-08-02,0,0,0,,0.0,0.0,9901.63,0.0
2021-08-09,0,0,0,,0.0,0.0,9901.63,0.0
2021-08-16,0,0,0,,0.0,0.0,9901.63,0.0
2021-08-23,0,0,0,,0.0,0.0,9901.63,0.0
2021-08-30,0,0,0,,0.0,0.0,9901.63,0.0
2021-09-06,0,0,0,,0.0,0.0,9901.63,0.0
2021-09-13,0,0,0,,0.0,0.0,9901.63,0.0
2021-09-20,5,2,3,0.4,45.29,1.4978,9946.92,0.4574
2021-09-27,0,0,0,,0.0,0.0,9946.92,0.0
2021-10-04,5,4,1,0.8,93.09,2.8244,10040.01,0.9359
2021-10-11,5,5,0,1.0,156.71,4.7125,10196.72,1.5609
2021-10-18,0,0,0,,0.0,0.0,10196.72,0.0
2021-10-25,0,0,0,,0.0,0.0,10196.72,0.0
2021-11-01,0,0,0,,0.0,0.0,10196.72,0.0
2021-11-08,0,0,0,,0.0,0.0,10196.72,0.0
2021-11-15,0,0,0,,0.0,0.0,10196.72,0.0
2021-11-22,0,0,0,,0.0,0.0,10196.72,0.0
2021-11-29,0,0,0,,0.0,0.0,10196.72,0.0
2021-12-06,0,0,0,,0.0,0.0,10196.72,0.0
2021-12-13,0,0,0,,0.0,0.0,10196.72,0.0
2021-12-20,0,0,0,,0.0,0.0,10196.72,0.0
2021-12-27,0,0,0,,0.0,0.0,10196.72,0.0
2022-01-03,0,0,0,,0.0,0.0,10196.72,0.0
2022-01-10,5,4,1,0.8,14.14,0.4032,10210.86,0.1387
2022-01-17,0,0,0,,0.0,0.0,10210.86,0.0
2022-01-24,5,4,1,0.8,53.5,1.8709,10264.36,0.524
2022-01-31,5,4,1,0.8,18.14,0.5918,10282.5,0.1767
2022-02-07,5,4,1,0.8,118.53,3.3878,10401.03,1.1527
2022-02-14,5,2,3,0.4,-6.57,-0.1327,10394.46,-0.0632
2022-02-21,0,0,0,,0.0,0.0,10394.46,0.0
2022-02-28,5,3,2,0.6,129.51,4.1115,10523.97,1.246
2022-03-07,5,1,4,0.2,-48.9,-1.5016,10475.07,-0.4647
2022-03-14,5,2,3,0.4,-43.59,-1.3545,10431.48,-0.4161
2022-03-21,5,3,2,0.6,53.88,1.5449,10485.36,0.5165
2022-03-28,5,2,3,0.4,-50.62,-1.4247,10434.74,-0.4828
2022-04-04,5,2,3,0.4,-14.19,-0.6342,10420.55,-0.136
2022-04-11,5,1,4,0.2,-35.97,-1.1908,10384.58,-0.3452
2022-04-18,5,2,3,0.4,-6.48,-0.092,10378.1,-0.0624
2022-04-25,5,0,5,0.0,-55.31,-1.6611,10322.79,-0.5329
2022-05-02,5,2,3,0.4,82.9,2.3256,10405.69,0.8031
2022-05-09,5,1,4,0.2,-100.81,-3.5165,10304.88,-0.9688
2022-05-16,5,0,5,0.0,-112.59,-3.778,10192.29,-1.0926
2022-05-23,5,4,1,0.8,44.26,1.4663,10236.55,0.4342
2022-05-30,0,0,0,,0.0,0.0,10236.55,0.0
2022-06-06,5,0,5,0.0,-155.48,-4.9256,10081.07,-1.5189
2022-06-13,5,1,4,0.2,-91.46,-3.0052,9989.61,-0.9072
2022-06-20,0,0,0,,0.0,0.0,9989.61,0.0
2022-06-27,5,0,5,0.0,-71.1,-2.2474,9918.51,-0.7117
2022-07-04,0,0,0,,0.0,0.0,9918.51,0.0
2022-07-11,5,3,2,0.6,10.26,-0.3793,9928.77,0.1034
2022-07-18,5,4,1,0.8,46.47,1.3727,9975.24,0.468
2022-07-25,5,5,0,1.0,103.01,3.4739,10078.25,1.0327
2022-08-01,0,0,0,,0.0,0.0,10078.25,0.0
2022-08-08,0,0,0,,0.0,0.0,10078.25,0.0
2022-08-15,0,0,0,,0.0,0.0,10078.25,0.0
2022-08-22,0,0,0,,0.0,0.0,10078.25,0.0
2022-08-29,5,1,4,0.2,-104.44,-3.0801,9973.81,-1.0363
2022-09-05,0,0,0,,0.0,0.0,9973.81,0.0
2022-09-12,0,0,0,,0.0,0.0,9973.81,0.0
2022-09-19,5,1,4,0.2,-84.85,-2.4761,9888.96,-0.8507
2022-09-26,5,3,2,0.6,48.51,1.8992,9937.47,0.4905
2022-10-03,5,3,2,0.6,41.12,1.2186,9978.59,0.4138
2022-10-10,5,0,5,0.0,-92.72,-2.7921,9885.87,-0.9292
2022-10-17,5,3,2,0.6,28.12,0.8707,9913.99,0.2844
2022-10-24,5,5,0,1.0,146.9,4.5783,10060.89,1.4817
2022-10-31,5,3,2,0.6,-34.0,-1.2494,10026.89,-0.3379
2022-11-07,5,3,2,0.6,61.26,2.2232,10088.15,0.611
2022-11-14,0,0,0,,0.0,0.0,10088.15,0.0
2022-11-21,0,0,0,,0.0,0.0,10088.15,0.0
2022-11-28,0,0,0,,0.0,0.0,10088.15,0.0
2022-12-05,0,0,0,,0.0,0.0,10088.15,0.0
2022-12-12,0,0,0,,0.0,0.0,10088.15,0.0
2022-12-19,5,3,2,0.6,61.76,1.8504,10149.91,0.6122
2022-12-26,0,0,0,,0.0,0.0,10149.91,0.0
2023-01-02,0,0,0,,0.0,0.0,10149.91,0.0
2023-01-09,5,4,1,0.8,109.94,3.3064,10259.85,1.0832
2023-01-16,0,0,0,,0.0,0.0,10259.85,0.0
