week_start,trades,winners,losers,win_rate,total_pnl,total_r,equity,weekly_return_pct
2021-01-04,0,0,0,,0.0,0.0,10000.0,0.0
2021-01-11,0,0,0,,0.0,0.0,10000.0,0.0
2021-01-18,0,0,0,,0.0,0.0,10000.0,0.0
2021-01-25,0,0,0,,0.0,0.0,10000.0,0.0
2021-02-01,0,0,0,,0.0,0.0,10000.0,0.0
2021-02-08,4,3,1,0.75,23.46,0.8081,10023.46,0.2346
2021-02-15,1,1,0,1.0,8.69,0.3372,10032.15,0.0867
2021-02-22,5,2,3,0.4,-60.04,-1.815,9972.11,-0.5985
2021-03-01,3,1,2,0.3333,-65.8,-1.898,9906.31,-0.6598
2021-03-08,5,4,1,0.8,103.36,3.2766,10009.67,1.0434
2021-03-15,5,2,3,0.4,-23.97,-0.6989,9985.7,-0.2395
2021-03-22,7,1,6,0.1429,-103.57,-3.3442,9882.13,-1.0372
2021-03-29,4,2,2,0.5,-55.16,-1.7601,9826.97,-0.5582
2021-04-05,6,3,3,0.5,6.49,0.6165,9833.46,0.066
2021-04-12,3,2,1,0.6667,4.09,0.1138,9837.55,0.0416
2021-04-19,6,2,4,0.3333,-44.0,-0.9069,9793.55,-0.4473
2021-04-26,5,1,4,0.2,-93.27,-2.6689,9700.28,-0.9524
2021-05-03,3,2,1,0.6667,92.05,2.8633,9792.33,0.9489
2021-05-10,8,2,6,0.25,-11.13,-0.2615,9781.2,-0.1137
2021-05-17,3,0,3,0.0,-99.15,-3.0666,9682.05,-1.0137
2021-05-24,7,4,3,0.5714,8.5,0.2476,9690.55,0.0878
2021-05-31,0,0,0,,0.0,0.0,9690.55,0.0
2021-06-07,5,1,4,0.2,-77.85,-2.2729,9612.7,-0.8034
2021-06-14,4,2,2,0.5,2.83,0.1266,9615.53,0.0294
2021-06-21,4,1,3,0.25,-44.3,-1.2709,9571.23,-0.4607
2021-06-28,7,4,3,0.5714,20.35,0.9915,9591.58,0.2126
2021-07-05,0,0,0,,0.0,0.0,9591.58,0.0
2021-07-12,5,0,5,0.0,-68.16,-2.5563,9523.42,-0.7106
2021-07-19,5,3,2,0.6,31.82,1.3287,9555.24,0.3341
2021-07-26,5,1,4,0.2,-84.0,-2.8153,9471.24,-0.8791
2021-08-02,3,1,2,0.3333,-6.82,-0.0947,9464.42,-0.072
2021-08-09,6,4,2,0.6667,70.24,2.0704,9534.66,0.7421
2021-08-16,6,0,6,0.0,-152.32,-4.7169,9382.34,-1.5975
2021-08-23,2,0,2,0.0,-23.24,-0.6837,9359.1,-0.2477
2021-08-30,7,2,5,0.2857,36.48,1.1928,9395.58,0.3898
2021-09-06,1,1,0,1.0,65.56,1.9692,9461.14,0.6978
2021-09-13,4,2,2,0.5,-9.04,-0.2971,9452.1,-0.0955
2021-09-20,6,2,4,0.3333,44.49,1.4736,9496.59,0.4707
2021-09-27,4,1,3,0.25,-101.78,-3.015,9394.81,-1.0718
2021-10-04,4,2,2,0.5,23.59,0.6971,9418.4,0.2511
2021-10-11,4,3,1,0.75,86.11,2.605,9504.51,0.9143
2021-10-18,6,5,1,0.8333,227.46,6.7803,9731.97,2.3932
2021-10-25,7,3,4,0.4286,-51.9,-1.549,9680.07,-0.5333
2021-11-01,5,4,1,0.8,161.13,4.6815,9841.2,1.6646
2021-11-08,5,0,5,0.0,-151.18,-4.6005,9690.02,-1.5362
2021-11-15,5,0,5,0.0,-138.32,-4.7404,9551.7,-1.4274
2021-11-22,5,2,3,0.4,-21.0,-1.0884,9530.7,-0.2199
2021-11-29,5,1,4,0.2,-70.91,-2.1499,9459.79,-0.744
2021-12-06,5,3,2,0.6,-10.93,-0.2435,9448.86,-0.1155
2021-12-13,5,1,4,0.2,-93.58,-2.1009,9355.28,-0.9904
2021-12-20,5,3,2,0.6,0.07,-0.0214,9355.35,0.0007
2021-12-27,4,2,2,0.5,-7.6,-0.2343,9347.75,-0.0812
2022-01-03,6,1,5,0.1667,-88.19,-2.7247,9259.56,-0.9434
2022-01-10,4,3,1,0.75,-5.85,-0.1758,9253.71,-0.0632
2022-01-17,1,0,1,0.0,-0.65,-0.0187,9253.06,-0.007
2022-01-24,5,4,1,0.8,53.5,1.8709,9306.56,0.5782
2022-01-31,5,4,1,0.8,18.14,0.5918,9324.7,0.1949
2022-02-07,3,2,1,0.6667,69.91,1.9885,9394.61,0.7497
2022-02-14,6,1,5,0.1667,-24.75,-0.7302,9369.86,-0.2634
2022-02-21,1,0,1,0.0,-0.48,-0.016,9369.38,-0.0051
2022-02-28,4,2,2,0.5,94.75,2.9101,9464.13,1.0113
2022-03-07,6,2,4,0.3333,-9.34,-0.1345,9454.79,-0.0987
2022-03-14,4,1,3,0.25,-66.99,-2.0509,9387.8,-0.7085
2022-03-21,3,1,2,0.3333,23.91,0.6119,9411.71,0.2547
2022-03-28,6,2,4,0.3333,-24.47,-0.6955,9387.24,-0.26
2022-04-04,6,3,3,0.5,11.53,0.166,9398.77,0.1228
2022-04-11,6,1,5,0.1667,-36.73,-1.2153,9362.04,-0.3908
2022-04-18,5,2,3,0.4,-6.48,-0.092,9355.56,-0.0692
2022-04-25,5,0,5,0.0,-55.31,-1.6611,9300.25,-0.5912
2022-05-02,5,2,3,0.4,82.9,2.3256,9383.15,0.8914
2022-05-09,5,1,4,0.2,-100.81,-3.5165,9282.34,-1.0744
2022-05-16,5,0,5,0.0,-112.59,-3.778,9169.75,-1.2129
2022-05-23,3,2,1,0.6667,0.86,0.0132,9170.61,0.0094
2022-05-30,2,2,0,1.0,38.11,1.375,9208.72,0.4156
2022-06-06,5,0,5,0.0,-155.48,-4.9256,9053.24,-1.6884
2022-06-13,5,1,4,0.2,-91.46,-3.0052,8961.78,-1.0102
2022-06-20,0,0,0,,0.0,0.0,8961.78,0.0
2022-06-27,5,0,5,0.0,-71.1,-2.2474,8890.68,-0.7934
2022-07-04,0,0,0,,0.0,0.0,8890.68,0.0
2022-07-11,4,2,2,0.5,-31.75,-1.6855,8858.93,-0.3571
2022-07-18,6,5,1,0.8333,110.19,3.3541,8969.12,1.2438
2022-07-25,3,3,0,1.0,22.69,0.7025,8991.81,0.253
2022-08-01,7,5,2,0.7143,172.23,5.6421,9164.04,1.9154
2022-08-08,3,0,3,0.0,-98.17,-3.0337,9065.87,-1.0713
2022-08-15,5,2,3,0.4,-16.25,-0.7854,9049.62,-0.1792
2022-08-22,5,1,4,0.2,-19.9,-0.4748,9029.72,-0.2199
2022-08-29,6,0,6,0.0,-138.37,-4.1146,8891.35,-1.5324
2022-09-05,1,1,0,1.0,64.71,1.9732,8956.06,0.7278
2022-09-12,5,0,5,0.0,-110.92,-4.1342,8845.14,-1.2385
2022-09-19,5,1,4,0.2,-84.85,-2.4761,8760.29,-0.9593
2022-09-26,4,2,2,0.5,15.96,0.9292,8776.25,0.1822
2022-10-03,5,3,2,0.6,82.04,2.4437,8858.29,0.9348
2022-10-10,6,0,6,0.0,-93.34,-2.8103,8764.95,-1.0537
2022-10-17,4,2,2,0.5,-22.1,-0.6461,8742.85,-0.2521
2022-10-24,3,3,0,1.0,130.4,4.1654,8873.25,1.4915
2022-10-31,8,5,3,0.625,73.64,1.8583,8946.89,0.8299
2022-11-07,2,0,2,0.0,-36.5,-1.1337,8910.39,-0.408
2022-11-14,8,4,4,0.5,48.27,1.9654,8958.66,0.5417
